iter	Passed	Remaining
0	5	534
1	10	522
2	15	488
3	18	452
4	23	441
5	27	430
6	31	418
7	34	392
8	36	370
9	38	349
10	40	331
11	43	317
12	45	305
13	47	294
14	49	282
15	51	270
16	52	258
17	54	247
18	55	237
19	56	226
20	57	217
21	58	208
22	60	201
23	61	193
24	62	187
25	63	180
26	64	174
27	65	169
28	67	164
29	68	159
30	69	154
31	70	150
32	71	145
33	72	141
34	73	137
35	75	133
36	76	130
37	77	127
38	79	123
39	80	120
40	81	117
41	81	113
42	82	109
43	83	106
44	84	103
45	86	100
46	87	98
47	88	95
48	89	93
49	90	90
50	92	88
51	93	85
52	94	83
53	95	81
54	96	78
55	97	76
56	98	74
57	99	71
58	100	69
59	101	67
60	102	65
61	103	63
62	104	61
63	105	59
64	106	57
65	107	55
66	108	53
67	109	51
68	110	49
69	111	47
70	112	46
71	113	44
72	114	42
73	115	40
74	116	38
75	117	37
76	118	35
77	119	33
78	120	32
79	121	30
80	122	28
81	124	27
82	127	26
83	131	24
84	132	23
85	133	21
86	134	20
87	135	18
88	136	16
89	137	15
90	138	13
91	139	12
92	140	10
93	141	9
94	142	7
95	143	5
96	144	4
97	145	2
98	146	1
99	147	0
